country,rate_outgroup,r2_outgroup,rate_midpoint,r2_midpoint,rate_diff_root,subtype
Germany,0.003280841404019688,0.2616384208318206,0.0011524845172219183,0.04038176994656261,0.0021283568867977694,RSV-B
Hong Kong,-0.0023679206648096326,0.1505993393982057,0.0012960244774212987,0.30564817114647974,-0.003663945142230931,RSV-B
India,6.902504263189439e-4,0.0067831988580885376,2.435547418396591e-4,0.002277039154550741,4.4669568447928477e-4,RSV-B
Ireland,0.001492075510659675,0.05635049426780202,9.932951763739766e-4,0.031663767922724725,4.987803342856984e-4,RSV-B
Japan,2.0507004310897208e-4,0.003208636723983509,5.07381664645098e-4,0.023010455338647328,-3.023116215361259e-4,RSV-B
Jordan,-0.0025707540933597463,0.05614690193611227,7.899917903775278e-5,1.176252728988494e-4,-0.002649753272397499,RSV-B
Kenya,0.004052620683411473,0.7365746831303891,0.0018149607577298457,0.38401498050070687,0.002237659925681627,RSV-B
Kuwait,0.0025729995933378813,0.02125106099157164,-0.0012621366073748133,0.007912583212394183,0.0038351362007126946,RSV-B
Mexico,-0.0043974856256100035,0.4439114391326698,-3.228286731577054e-4,0.005949731028365409,-0.004074656952452298,RSV-B
Mongolia,0.05290857433215593,0.06927803732712169,-0.004634792663850139,0.003083413043429762,0.05754336699600607,RSV-B
Nepal,-0.005581532838996412,0.19596758780069398,-0.0021431190860454344,0.06574178003099762,-0.003438413752950977,RSV-B
Netherlands,-3.077107746995858e-4,0.003263164587196412,2.9903761906818413e-4,0.003700882041990406,-6.0674839376777e-4,RSV-B
New Zealand,-9.113132267866678e-4,0.010172792154625854,0.0025128034286820405,0.30262318343915323,-0.0034241166554687084,RSV-B
Nicaragua,-0.005212600588134501,0.06814573039864306,-0.004904010738727883,0.09998705179735093,-3.085898494066177e-4,RSV-B
Panama,-0.002741558319978029,0.3397631031203063,3.1176762636667035e-4,0.024202500573351455,-0.0030533259463446996,RSV-B
Papua New Guinea,0.009806107537405323,0.09451397915473539,-4.897830764543383e-4,2.689991190985883e-4,0.010295890613859661,RSV-B
Peru,-8.785937872843886e-4,0.37400162355916616,8.669335999710944e-4,0.3718421956585819,-0.001745527387255483,RSV-B
Philippines,2.4189428258409378e-4,0.006015898872094874,1.9424868721296159e-4,0.012712394503923743,4.764559537113219e-5,RSV-B
Russia,7.340339335598937e-4,0.003766032886293506,-0.004613720253781369,0.20291957809760255,0.005347754187341263,RSV-B
Slovakia,0.008247995077368933,0.2685032459433814,-0.0027964672256128955,0.08392994263311546,0.011044462302981829,RSV-B
South Africa,-0.005581332310859551,0.5285518164778558,-0.00166391306750087,0.14958858699028488,-0.003917419243358681,RSV-B
South Korea,-0.0027699497431923257,0.2883504758174581,0.0015366813561402894,0.16338137906021957,-0.004306631099332615,RSV-B
Spain,4.7900320672661384e-4,0.02009832465844271,3.6233063102431045e-4,0.025271811768488275,1.1667257570230339e-4,RSV-B
Switzerland,0.002745068710548042,0.07861659375085428,-6.522721487148824e-4,0.0052011483329709495,0.0033973408592629243,RSV-B
Thailand,-3.4587650572254886e-4,0.034558048848013626,-2.9116898657722434e-4,0.02583121377364596,-5.4707519145324524e-5,RSV-B
USA,-0.003807724718816101,0.2537059613767827,0.0017336031222557097,0.2320341713031153,-0.005541327841071811,RSV-B
Uganda,0.0022073887010921633,0.03727751171335632,0.003130854456171294,0.0989086301435841,-9.234657550791308e-4,RSV-B
United Kingdom,-0.0024643012481967647,0.2346392925670634,0.0016871524915570899,0.07134949784246643,-0.004151453739753855,RSV-B
Viet Nam,-0.0015771938567230566,0.14258052448125846,-6.034872858122666e-4,0.0424703952837304,-9.7370657091079e-4,RSV-B
