country,rate_outgroup,r2_outgroup,rate_midpoint,r2_midpoint,rate_diff_root,subtype
Mongolia,0.0016078649101111061,0.2680753598359437,-5.027290288989329e-4,0.013402614832215876,0.002110593939010039,RSV-A
Netherlands,-2.7024951123473035e-4,0.041404812017131705,-2.320843356156227e-4,0.03936822631706077,-3.816517561910766e-5,RSV-A
New Zealand,7.828189992901722e-5,0.002075010431826894,-8.44942470961813e-5,0.01099175779582555,1.6277614702519852e-4,RSV-A
Nicaragua,-0.001586122809587903,0.26235119318736355,-0.001057174527632335,0.133033490087483,-5.289482819555678e-4,RSV-A
Panama,3.849953550851715e-4,0.15078623476996295,4.0898275036293174e-4,0.28973899479443094,-2.398739527776023e-5,RSV-A
Peru,3.1336319911969785e-5,0.02135788332421683,1.3710814498458737e-4,0.324479062685399,-1.0577182507261758e-4,RSV-A
Philippines,3.27926298754712e-4,0.4685061360114102,3.271781943423143e-4,0.4674292877206815,7.481044123977413e-7,RSV-A
Russia,9.822397663034856e-5,0.010733609492304064,1.2749720721996538e-4,0.0194948640169979,-2.927323058961682e-5,RSV-A
Slovakia,3.1083147926925234e-4,0.006298421587121652,1.382184388895438e-4,7.964639776460198e-4,1.7261304037970854e-4,RSV-A
South Africa,6.178814137142882e-4,0.24674017811121793,3.769283594503766e-4,0.19746457961351657,2.4095305426391164e-4,RSV-A
South Korea,-5.848829273266042e-4,0.29157364138471464,-3.538784597166977e-4,0.3691960043116221,-2.3100446760990646e-4,RSV-A
Spain,4.593321114708236e-4,0.2623993618942421,4.51947380117049e-4,0.30555105307916597,7.384731353774561e-6,RSV-A
Switzerland,2.564779769523516e-4,0.009181787180317121,9.25120193612171e-5,0.0013816740886139864,1.639659575911345e-4,RSV-A
Taiwan,7.915587343403564e-4,0.37590169758703074,4.6391275118066305e-4,0.15455768467554915,3.276459831596933e-4,RSV-A
Thailand,3.992837919328649e-4,0.4303243760626646,1.9480302152106952e-4,0.1836541645184907,2.0448077041179536e-4,RSV-A
USA,5.152822666464751e-4,0.38168726593069585,2.972799377543581e-4,0.16463196140137476,2.18002328892117e-4,RSV-A
United Kingdom,-7.506914591603032e-6,1.5995449090723907e-5,1.0750045261575142e-4,0.008483557501676866,-1.1500736720735445e-4,RSV-A
Viet Nam,8.35060516389709e-4,0.17143316540676065,3.9080679643830934e-4,0.18714037160280772,4.4425371995139963e-4,RSV-A
Zambia,-0.0012175273252050729,0.22098855768165976,-2.908875376907167e-4,0.017421674783105485,-9.266397875143562e-4,RSV-A
Argentina,-0.0014910347158447444,0.8106780776568949,8.881385945422371e-4,0.605569283384945,-0.0023791733103869814,RSV-B
Australia,-4.990195175923795e-4,0.19221553125260163,1.23209611125073e-4,0.016645652910667632,-6.222291287174525e-4,RSV-B
Austria,-1.176767299169474e-4,0.003220220878313654,4.6737073467581773e-4,0.1524819974692376,-5.850474645927651e-4,RSV-B
Belgium,0.0010059418810498206,0.2576602453037353,2.186577414949972e-4,0.026691215822700134,7.872841395548234e-4,RSV-B
Brazil,3.333834116181018e-4,0.12925818809376247,-4.280858338666319e-4,0.23702560491329525,7.614692454847337e-4,RSV-B
Canada,-0.0011359133335951744,0.21569376963318984,-8.80293158780458e-5,0.0028923552630026376,-0.0010478840177171286,RSV-B
China,3.537893996310455e-4,0.08471194021350417,9.978697096518134e-5,0.017042495203803784,2.5400242866586417e-4,RSV-B
Cote d'Ivoire,-0.0021627904212888458,0.8353043441320832,7.261103323085237e-5,0.005555814178654811,-0.002235401454519698,RSV-B
Finland,-0.0011696034243566806,0.2087343520352888,-0.0011611087547281804,0.21282831789881637,-8.494669628500168e-6,RSV-B
France,2.516806942906281e-4,0.04694217320295195,3.2638149142012247e-4,0.18882293329444827,-7.470079712949438e-5,RSV-B
Germany,-0.0012702408044875932,0.6798005252058955,-0.00019209069737705979,0.03265876985189409,-0.0010781501071105335,RSV-B
Hong Kong,-3.587346259707399e-4,0.12094315523848083,1.9315207276803987e-4,0.06250844022314213,-5.518866987387797e-4,RSV-B
Hungary,2.909599532158456e-4,0.029645420571185584,8.403963232000725e-4,0.356603320937347,-5.494363699842269e-4,RSV-B
India,8.226144955508065e-4,0.5937093542437947,3.457708735700797e-4,0.22533380509052364,4.768436219807268e-4,RSV-B
Ireland,1.806303940634892e-4,0.016541825287978908,2.733648358871344e-4,0.04524900456136657,-9.273444182364521e-5,RSV-B
Israel,0.0020387575302426865,0.12459451654733775,0.0018369102115264042,0.19682624297088983,2.0184731871628232e-4,RSV-B
Japan,-3.100102163341176e-4,0.05033727223694756,7.891332512024457e-6,4.5589416219379004e-5,-3.179015488461421e-4,RSV-B
Jordan,6.641170363472679e-5,0.0010180635768733666,-5.793851285866099e-5,8.688125101196451e-4,1.243502164933878e-4,RSV-B
Kenya,-8.750486386988667e-4,0.5298065807987749,2.371955008412336e-5,9.528043662154492e-4,-8.987681887829901e-4,RSV-B
Korea,-0.001249487215654075,0.2777199201784139,4.663729209776983e-21,0.47047940441882996,-0.001249487215654075,RSV-B
Kuwait,0.00435140853753218,0.3216075217283747,-1.6335220796559257e-4,0.001736118414219914,0.004514760745497773,RSV-B
Mexico,-0.001708452823917529,0.7959380035726459,-2.456674958514885e-4,0.2007733775768433,-0.0014627853280660406,RSV-B
Mongolia,-0.01795305009926018,0.2735926289942762,0.0039458206738535884,0.1507514644902143,-0.02189887077311377,RSV-B
Nepal,2.57855318365528e-4,0.011027302708821036,-8.04962719969417e-4,0.1777899869344022,0.001062818038334945,RSV-B
Netherlands,-0.0011653017892704536,0.15739468936195375,-4.258102881690173e-4,0.0554001130051918,-7.394915011014363e-4,RSV-B
New Zealand,-2.1122616979836072e-4,0.008753235565826861,-2.769430114031278e-5,2.5016490454182955e-4,-1.8353186865804793e-4,RSV-B
Nicaragua,-0.0014139546620309657,0.12063241616319055,-0.0010398684823628055,0.08189384665855469,-3.7408617966816016e-4,RSV-B
Panama,7.914809809054279e-4,0.24984602687960294,4.142947973023735e-4,0.14797074695266146,3.7718618360305437e-4,RSV-B
Papua New Guinea,-0.002123293828137619,0.23862053175625544,2.2371768371496997e-20,0,-0.002123293828137619,RSV-B
Peru,9.875780276608344e-4,0.926134170519097,8.416711711871192e-6,0.0014546103977301254,9.791613159489633e-4,RSV-B
Philippines,0.001023644633784551,0.6727264587773817,4.465358535619641e-4,0.27777346258281366,5.771087802225871e-4,RSV-B
Russia,7.037645126804561e-4,0.016364222243218627,3.6410118571696484e-4,0.029782313182185098,3.3966332696349125e-4,RSV-B
Slovakia,0.0014359296142581845,0.12837908834766595,-1.9307225061859169e-4,0.005905694774163007,0.0016290018648767762,RSV-B
South Africa,1.1285473332071162e-4,0.003609850788637778,3.6715955417420103e-4,0.05432864004912004,-2.543048208534894e-4,RSV-B
South Korea,-0.0012601468824295996,0.39081923966149745,-9.881417550999933e-4,0.32151690664730187,-2.7200512732960635e-4,RSV-B
Spain,-2.9001799182720804e-4,0.07371049802194105,-5.563822498344572e-4,0.400095218049346,2.6636425800724914e-4,RSV-B
Switzerland,-8.410190453742904e-4,0.4454590634692576,-4.5310037069447697e-4,0.33336262365945235,-3.8791867467981344e-4,RSV-B
Taiwan,-5.598747707863752e-4,0.06343322150012153,-2.3318824586519995e-4,0.02496724221897113,-3.2668652492117523e-4,RSV-B
Thailand,-0.0012007497504123,0.15894535325268958,-0.0010463320051727453,0.2534821504176399,-1.5441774523955475e-4,RSV-B
USA,-0.0012232093838754421,0.7133462560294757,-8.17490955312309e-4,0.5568929629697358,-4.057184285631331e-4,RSV-B
Uganda,8.491902723293724e-4,0.20770620485891536,5.548664291956809e-4,0.17382200057825056,2.943238431336914e-4,RSV-B
United Kingdom,7.594953750805816e-4,0.34202119304950374,3.387442645352627e-4,0.12863044212724611,4.207511105453189e-4,RSV-B
Viet Nam,-0.0011440996208017151,0.4429625551214628,-1.263257097556133e-4,0.031880696118141844,-0.0010177739110461019,RSV-B
